Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,MonthlyIncome,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceRatio,PromotionGap,IncomePerLevel,CompanySwitchRate,RoleStability,PromotionDelay,LowIncomeFlag,Feedback,Sentiment,Attrition_Risk,Risk_Score,Risk_Level,Productivity_Risk_Score,Productivity_Risk_Level,Attrition_Risk_%,AgeGroup
1,56,1,Travel Rarely,Network Administration,24,Graduation,5,Male,186630,2,6,Manager,4,Married,7,Yes,85,9,1,7,2,4,0.7,3,31105,0.777777778,0.285714286,5,0,High stress workload,0.16,0.229513647,22.95136474,Low Risk,48.1678879,Medium,22.95136474,50-60
2,46,1,Travel Rarely,Software Development,45,Degree,5,Male,78553,4,5,Help Desk,2,Divorced,3,No,22,18,4,1,2,0,0.052631579,1,15710.6,0.166666667,2,18,0,No promotion opportunities,0,0.035410594,3.541059444,Low Risk,38.86018696,Medium,3.541059444,40-50
3,32,0,No Travel,Data Science,30,Master's,3,Female,175003,1,4,HR,2,Single,2,Yes,100,0,4,5,5,8,5,-3,43750.75,inf,1,-8,0,I am happy with my team,0.8,0.196184336,19.61843357,Low Risk,76.99148828,High,19.61843357,30-40
4,60,1,Travel Frequently,Data Science,42,Graduation,2,Female,100795,2,8,Help Desk,3,Married,5,No,72,17,2,1,7,3,0.055555556,-2,12599.375,0.294117647,7,14,0,High stress workload,0.16,0.925330618,92.53306182,High Risk,69.27054032,Medium,92.53306182,50-60
5,25,0,No Travel,Network Administration,26,Graduation,4,Female,75256,1,2,Director,4,Single,9,No,21,12,5,7,2,4,0.538461538,3,37628,0.75,0.285714286,8,0,Good work life balance,0.7,0.031606546,3.160654588,Low Risk,56.44011552,Medium,3.160654588,18-30
6,38,0,Travel Rarely,Data Science,38,Degree,5,Male,140154,1,2,Developer,1,Divorced,0,Yes,60,9,3,3,2,6,0.3,-3,70077,0,0.666666667,3,0,Supportive management,0.5,0.149597764,14.9597764,Low Risk,84.99290172,High,14.9597764,30-40
7,56,0,Travel Rarely,Network Administration,43,Degree,2,Female,40476,1,4,Developer,4,Divorced,0,No,35,15,4,4,1,7,0.25,-3,10119,0,0.25,8,0,Supportive management,0.5,0.452946933,45.29469332,Medium Risk,63.87553412,Medium,45.29469332,50-60
8,36,0,Travel Rarely,IT Services,40,Degree,4,Male,188174,2,4,QA Analyst,1,Single,6,Yes,0,9,4,0,3,6,0,-6,47043.5,0.666666667,inf,3,0,Good work life balance,0.7,0.124522972,12.45229718,Low Risk,72.7856995,High,12.45229718,30-40
9,40,0,Travel Rarely,Data Science,43,Degree,3,Male,162608,1,1,QA Analyst,3,Divorced,6,No,75,12,5,10,2,2,0.769230769,8,162608,0.5,0.2,10,0,I am happy with my team,0.8,0.100513446,10.05134457,Low Risk,66.47964904,Medium,10.05134457,30-40
10,28,1,Travel Rarely,Cyber Security,38,PhD,5,Male,31890,2,4,IT,4,Single,9,No,95,7,2,3,8,7,0.375,-4,7972.5,1.285714286,2.666666667,0,0,No promotion opportunities,0,0.614807972,61.48079724,Medium Risk,54.96719951,Medium,61.48079724,18-30
11,28,1,Travel Rarely,Software Development,44,Below College,4,Male,93029,1,3,Manager,3,Divorced,7,No,66,16,1,8,2,7,0.470588235,1,31009.66667,0.4375,0.25,9,0,Salary is low,0,0.839700777,83.97007773,High Risk,79.52413136,High,83.97007773,18-30
12,41,0,Travel Rarely,Network Administration,50,Master's,2,Female,156862,5,5,Business Analyst,1,Single,6,No,24,14,3,9,10,6,0.6,3,31372.4,0.428571429,1.111111111,8,0,I am happy with my team,0.8,0.451590578,45.15905784,Medium Risk,43.26336315,Medium,45.15905784,40-50
13,53,0,Travel Rarely,Data Science,3,Graduation,4,Female,108342,2,7,Help Desk,5,Divorced,4,Yes,82,17,1,6,10,5,0.333333333,1,15477.42857,0.235294118,1.666666667,12,0,Supportive management,0.5,0.208298354,20.82983538,Low Risk,38.96997095,Medium,20.82983538,50-60
14,57,1,Travel Frequently,Data Science,13,Graduation,3,Female,47135,5,2,Director,1,Married,9,No,68,15,1,8,2,6,0.5,2,23567.5,0.6,0.25,9,0,Poor management support,-0.4,0.671278367,67.12783668,Medium Risk,47.14020647,Medium,67.12783668,50-60
